program,routeOrSite,stationOrPoint,latitude,longitude
cwmp,cwmp1904,p4,41.843416,-83.406133
cwmp,cwmp1909,p1,41.928171,-83.338992
cwmp,cwmp1909,p2,41.919801,-83.33453
cwmp,cwmp1911,p1,41.946183,-83.301233
cwmp,cwmp1913,p1,41.944812,-83.271937
cwmp,cwmp1914,p1,41.947619,-83.263818
cwmp,cwmp1914,p2,41.957988,-83.267893
cwmp,cwmp1914,p3,41.958974,-83.261988
cwmp,cwmp1915,p1,41.981922,-83.238004
cwmp,cwmp1915,p2,41.98732,-83.242738
cwmp,cwmp1915,p3,41.979384,-83.249031
cwmp,cwmp1915,p3M,41.978461,-83.249862
cwmp,cwmp1917,p1,41.996205,-83.221117
cwmp,cwmp1917,p2,42.008668,-83.224094
cwmp,cwmp1917,p3,42.037935,-83.206866
cwmp,cwmp1917,p4,42.044437,-83.209689
cwmp,cwmp1917,p5,42.047535,-83.202994
cwmp,cwmp1917,p6,42.042708,-83.200493
cwmp,cwmp1917,p7,42.036612,-83.219633
cwmp,cwmp1917,p8,42.001034,-83.22301
cwmp,cwmp1917,p8M,42.001324,-83.223425
cwmp,cwmp1918,p1,42.06785521,-83.20046159
cwmp,cwmp1918,p2,42.064679,-83.195501
cwmp,cwmp1918,p3,42.058706,-83.192538
cwmp,cwmp1918,p4,42.075096,-83.201946
cwmp,cwmp1918,p5,42.053819,-83.190024
cwmp,cwmp1918,p6,42.085393,-83.205434
cwmp,cwmp1919,p1,42.069324,-83.193181
cwmp,cwmp1919,p2,42.074364,-83.191385
cwmp,cwmp1919,p3,42.077981,-83.195503
cwmp,cwmp1928,p1,41.890728,-83.385155
cwmp,cwmp1928,p2,41.890764,-83.385201
cwmp,cwmp1933,p1,41.764293,-83.472734
cwmp,cwmp1933,p2,41.757965,-83.47955
cwmp,cwmp1933,p3,41.758168,-83.463426
cwmp,cwmp1933,p4,41.759019,-83.450032
cwmp,cwmp1933,p5,41.76005,-83.43874
cwmp,cwmp1933,p6,41.765212,-83.441665
cwmp,cwmp1938,p1,42.967203,-78.942509
cwmp,cwmp1940,p1,42.155852,-80.077346
cwmp,cwmp1941,p1,42.16649604,-80.08227199
cwmp,cwmp1941,p2,42.171103,-80.084772
cwmp,cwmp1949,p1,46.02516904,-84.69002101
cwmp,cwmp197,p1,44.075562,-76.333085
cwmp,cwmp199,p1,44.08184197,-76.30662301
cwmp,cwmp20,p1,43.344791,-77.836674
cwmp,cwmp22,p1,43.336495,-77.811334
cwmp,cwmp23,p1,43.339231,-77.797271
cwmp,cwmp26,p1,43.33383,-77.756372
cwmp,cwmp27,p1,43.32579682,-77.74157222
cwmp,cwmp28,p1,43.303219,-77.748899
cwmp,cwmp28,p2,43.309773,-77.738134
cwmp,cwmp28,p3,43.309972,-77.738326
cwmp,cwmp29,p1,43.283017,-77.714629
cwmp,cwmp376,p1,43.283046,-78.957444
cwmp,cwmp377,p1,43.302585,-78.861364
cwmp,cwmp4,p1,43.329043,-78.7442
cwmp,cwmp414,p1,44.09109198,-76.12082304
cwmp,cwmp422,p1,42.098575,-83.152618
cwmp,cwmp422,p2,42.10106,-83.151625
cwmp,cwmp425,p1,42.110431,-83.194083
cwmp,cwmp426,p1,42.17796139,-83.15197815
cwmp,cwmp426,p1M,42.178138,-83.15156
cwmp,cwmp428,p1,42.57231032,-82.81046849
cwmp,cwmp428,p2,42.581543,-82.802112
cwmp,cwmp428,p3,42.58507332,-82.80972672
cwmp,cwmp428,p4,42.590453,-82.804959
cwmp,cwmp428,p5,42.5837388,-82.79300007
cwmp,cwmp432,p1,42.625459,-82.584252
cwmp,cwmp432,p2,42.628221,-82.603855
cwmp,cwmp432,p3,42.636746,-82.616294
